electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
-0.0001,0.00012,0.09501,0.012
-0.0001,0.00012,0.09501,0.012
-0.0001,0.00012,0.09501,0.012
-0.0001,0.00012,0.09501,0.012
-0.0001,0.0002,0.09,0.00826
-0.0001,0.0002,0.09,0.00826
-0.0001,0.0002,0.09,0.00826
-0.0001,0.0002,0.09,0.00826
-0.0001,0.055,0.07578,0.00648
-0.0001,0.055,0.07578,0.00648
-0.0001,0.055,0.07578,0.00648
-0.0001,0.055,0.07578,0.00648
-2e-05,0.14679,0.07003,0.0058
-2e-05,0.14679,0.07003,0.0058
-2e-05,0.14679,0.07003,0.0058
-2e-05,0.14679,0.07003,0.0058
0.0,0.19725,0.06048,0.00638
0.0,0.19725,0.06048,0.00638
0.0,0.19725,0.06048,0.00638
0.0,0.19725,0.06048,0.00638
2e-05,0.11985,0.06159,0.00638
2e-05,0.11985,0.06159,0.00638
2e-05,0.11985,0.06159,0.00638
2e-05,0.11985,0.06159,0.00638
0.00012,0.09501,0.0682,0.00659
0.00012,0.09501,0.0682,0.00659
0.00012,0.09501,0.0682,0.00659
0.00012,0.09501,0.0682,0.00659
0.0002,0.09,0.0842,0.01841
0.0002,0.09,0.0842,0.01841
0.0002,0.09,0.0842,0.01841
0.0002,0.09,0.0842,0.01841
0.055,0.07578,0.1555,0.05371
0.055,0.07578,0.1555,0.05371
0.055,0.07578,0.1555,0.05371
0.055,0.07578,0.1555,0.05371
0.14679,0.07003,0.15937,0.11496
0.14679,0.07003,0.15937,0.11496
0.14679,0.07003,0.15937,0.11496
0.14679,0.07003,0.15937,0.11496
0.19725,0.06048,0.08797,0.12093
0.19725,0.06048,0.08797,0.12093
0.19725,0.06048,0.08797,0.12093
0.19725,0.06048,0.08797,0.12093
0.11985,0.06159,0.0381,0.0842
0.11985,0.06159,0.0381,0.0842
0.11985,0.06159,0.0381,0.0842
0.11985,0.06159,0.0381,0.0842
0.09501,0.0682,0.012,0.05844
0.09501,0.0682,0.012,0.05844
