electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.054,0.131,0.12,0.093
0.07,0.129,0.12,0.093
0.079,0.126,0.12,0.103
0.087,0.118,0.121,0.109
0.116,0.125,0.125,0.129
0.139,0.125,0.131,0.143
0.131,0.12,0.134,0.184
0.129,0.12,0.125,0.134
0.126,0.12,0.111,0.129
0.118,0.121,0.105,0.121
0.125,0.125,0.099,0.129
0.125,0.131,0.093,0.125
0.12,0.134,0.093,0.124
0.12,0.125,0.093,0.124
0.12,0.111,0.103,0.124
0.121,0.105,0.109,0.124
0.125,0.099,0.129,0.125
0.131,0.093,0.143,0.148
0.134,0.093,0.184,0.157
0.125,0.093,0.134,0.139
0.111,0.103,0.129,0.121
0.105,0.109,0.121,0.105
0.099,0.129,0.129,0.1
0.093,0.143,0.125,0.1
0.093,0.184,0.124,0.1
0.093,0.134,0.124,0.099
0.103,0.129,0.124,0.1
0.109,0.121,0.124,0.114
0.129,0.129,0.125,0.129
0.143,0.125,0.148,0.143
0.184,0.124,0.157,0.157
0.134,0.124,0.139,0.149
0.129,0.124,0.121,0.135
0.121,0.124,0.105,0.125
0.129,0.125,0.1,0.132
0.125,0.148,0.1,0.131
0.124,0.157,0.1,0.13
0.124,0.139,0.099,0.13
0.124,0.121,0.1,0.131
0.124,0.105,0.114,0.13
0.125,0.1,0.129,0.13
0.148,0.1,0.143,0.137
0.157,0.1,0.157,0.142
0.139,0.099,0.149,0.136
0.121,0.1,0.135,0.106
0.105,0.114,0.125,0.096
0.1,0.129,0.132,0.095
0.1,0.143,0.131,0.096
0.1,0.157,0.13,0.093
0.099,0.149,0.13,0.09
0.1,0.135,0.131,0.094
0.114,0.125,0.13,0.106
0.129,0.132,0.13,0.132
0.143,0.131,0.137,0.142
0.157,0.13,0.142,0.158
0.149,0.13,0.136,0.148
0.135,0.131,0.106,0.139
0.125,0.13,0.096,0.136
0.132,0.13,0.095,0.133
0.131,0.137,0.096,0.133
0.13,0.142,0.093,0.131
0.13,0.136,0.09,0.131
0.131,0.106,0.094,0.129
0.13,0.096,0.106,0.129
0.13,0.095,0.132,0.128
0.137,0.096,0.142,0.134
0.142,0.093,0.158,0.137
0.136,0.09,0.148,0.137
0.106,0.094,0.139,0.127
0.096,0.106,0.136,0.096
0.095,0.132,0.133,0.091
0.096,0.142,0.133,0.091
0.093,0.158,0.131,0.09
0.09,0.148,0.131,0.088
0.094,0.139,0.129,0.089
0.106,0.136,0.129,0.096
0.132,0.133,0.128,0.132
0.142,0.133,0.134,0.14
0.158,0.131,0.137,0.152
0.148,0.131,0.137,0.139
0.139,0.129,0.127,0.137
0.136,0.129,0.096,0.13
0.133,0.128,0.091,0.13
0.133,0.134,0.091,0.127
0.131,0.137,0.09,0.121
0.131,0.137,0.088,0.105
0.129,0.127,0.089,0.103
0.129,0.096,0.096,0.106
